county,Year,Month,ndvi
Tehama,2008,12,0.50075
San Joaquin,2008,12,0.35435
Alameda,2008,12,0.6819500000000001
Nevada,2008,12,0.75475
Butte,2008,12,0.5900000000000001
Merced,2008,12,0.4222
Tulare,2008,12,0.6212500000000001
Stanislaus,2008,12,0.4399
Orange,2008,12,0.39080000000000004
Imperial,2008,12,0.44965
Sutter,2008,12,0.0258
Amador,2008,12,0.7113
Lake,2008,12,0.6900000000000001
Plumas,2008,12,0.67705
San Mateo,2008,12,0.5657
Siskiyou,2008,12,0.2995
Santa Cruz,2008,12,0.7875000000000001
Glenn,2008,12,0.42495
San Luis Obispo,2008,12,0.52875
Sierra,2009,1,0.2036
Sacramento,2009,1,0.5272
Santa Barbara,2009,1,0.6821
Calaveras,2009,1,0.6289
Ventura,2009,1,0.5255500000000001
Los Angeles,2009,1,0.5427500000000001
Sonoma,2009,1,0.86675
Kings,2009,1,0.16115000000000002
San Diego,2009,1,0.39530000000000004
Placer,2009,1,0.79205
San Francisco,2009,1,
Marin,2009,1,0.7503500000000001
Mariposa,2009,1,0.72755
Lassen,2009,1,0.00945
Napa,2009,1,0.65485
Shasta,2009,1,0.6832
Monterey,2009,1,0.38925000000000004
Trinity,2009,1,0.8158000000000001
Mendocino,2009,1,0.8471500000000001
Inyo,2009,1,0.18055000000000002
Mono,2009,1,0.17065
Tuolumne,2009,1,0.27535000000000004
Solano,2009,1,0.3225
San Bernardino,2009,1,0.07355
Contra Costa,2009,1,0.4258
Alpine,2009,1,0.1585
El Dorado,2009,1,0.7274
Yolo,2009,1,0.29235
Yuba,2009,1,0.58325
San Benito,2009,1,0.39795
Humboldt,2009,1,0.5995
Riverside,2009,1,0.11760000000000001
Kern,2009,1,0.6403
Colusa,2009,1,0.32280000000000003
Del Norte,2009,1,0.7873
Modoc,2009,1,0.0195
Fresno,2009,1,0.5675
Madera,2009,1,0.6245
Santa Clara,2009,1,0.54045
Tehama,2009,1,0.5346500000000001
San Joaquin,2009,1,0.31815
Alameda,2009,1,0.65095
Nevada,2009,1,0.7843
Butte,2009,1,0.56315
Merced,2009,1,0.4504
Tulare,2009,1,0.6155
Stanislaus,2009,1,0.50765
Orange,2009,1,0.40215
Imperial,2009,1,0.6038
Sutter,2009,1,0.014150000000000001
Amador,2009,1,0.7120000000000001
Lake,2009,1,0.73945
Plumas,2009,1,0.72165
San Mateo,2009,1,0.5981000000000001
Siskiyou,2009,1,0.3428
Santa Cruz,2009,1,0.7674500000000001
Glenn,2009,1,0.43460000000000004
San Luis Obispo,2009,1,0.54245
Sierra,2009,2,0.21645
Sacramento,2009,2,0.5384
Santa Barbara,2009,2,0.6878000000000001
Calaveras,2009,2,0.6206
Ventura,2009,2,0.5667
Los Angeles,2009,2,0.5758
Sonoma,2009,2,0.84255
Kings,2009,2,0.1592
San Diego,2009,2,0.42985
Placer,2009,2,0.77185
San Francisco,2009,2,
Marin,2009,2,0.7587
Mariposa,2009,2,0.70315
Lassen,2009,2,0.054150000000000004
Napa,2009,2,0.6818500000000001
Shasta,2009,2,0.66635
Monterey,2009,2,0.48045000000000004
Trinity,2009,2,0.74265
Mendocino,2009,2,0.8066
Inyo,2009,2,0.1983
Mono,2009,2,0.019200000000000002
Tuolumne,2009,2,0.30225
Solano,2009,2,0.42875
San Bernardino,2009,2,0.078
Contra Costa,2009,2,0.41855000000000003
Alpine,2009,2,0.15975
El Dorado,2009,2,0.54095
Yolo,2009,2,0.43710000000000004
Yuba,2009,2,0.59555
San Benito,2009,2,0.5236500000000001
Humboldt,2009,2,0.7669
Riverside,2009,2,0.14165
Kern,2009,2,0.6606500000000001
Colusa,2009,2,0.4118
Del Norte,2009,2,0.5920500000000001
Modoc,2009,2,0.26035
Fresno,2009,2,0.59535
Madera,2009,2,0.6575000000000001
Santa Clara,2009,2,0.612
Tehama,2009,2,0.5942500000000001
San Joaquin,2009,2,0.38145
Alameda,2009,2,0.6516000000000001
Nevada,2009,2,0.50825
Butte,2009,2,0.6137
Merced,2009,2,0.53095
Tulare,2009,2,0.6455000000000001
Stanislaus,2009,2,0.55745
Orange,2009,2,0.3859
Imperial,2009,2,0.6311
Sutter,2009,2,0.30625
Amador,2009,2,0.67915
Lake,2009,2,0.6733
Plumas,2009,2,0.65985
San Mateo,2009,2,0.65785
Siskiyou,2009,2,0.35115
Santa Cruz,2009,2,0.74055
Glenn,2009,2,0.48905000000000004
San Luis Obispo,2009,2,0.555
Sierra,2009,3,0.21145
Sacramento,2009,3,0.58885
Santa Barbara,2009,3,0.7050500000000001
Calaveras,2009,3,0.65185
Ventura,2009,3,0.6313500000000001
Los Angeles,2009,3,0.6082000000000001
Sonoma,2009,3,0.82635
Kings,2009,3,0.12990000000000002
San Diego,2009,3,0.44575000000000004
Placer,2009,3,0.77615
San Francisco,2009,3,
Marin,2009,3,0.772
