"date","county","maxtempF","mintempF","avgtempF","totalSnow_cm","humid","wind","precip","sunHour","lat","long"
"2015-01","Sacramento County","60.32258064516129","41.96774193548387","52.61290322580645","0.0","64.3225806451613","3.4193548387096775","0.0","9.358064516129035","38.45000000000002","-121.34000000000006"
"2015-01","Santa Barbara County","67.51612903225806","49.70967741935484","59.70967741935484","0.0","50.354838709677416","4.67741935483871","0.025806451612903226","9.929032258064511","34.539999999999985","-120.03999999999998"
"2015-01","Shasta County","58.70967741935484","35.54838709677419","48.16129032258065","0.0","66.96774193548387","3.903225806451613","0.025806451612903226","8.683870967741939","40.76","-122.03999999999998"
"2015-02","Sacramento County","66.25","46.10714285714285","57.785714285714285","0.0","69.35714285714286","4.928571428571429","0.1642857142857143","10.032142857142858","38.45000000000002","-121.34000000000005"
"2015-02","Santa Barbara County","69.82142857142857","49.71428571428572","61.285714285714285","0.0","59.035714285714285","5.571428571428571","0.04642857142857143","10.610714285714284","34.539999999999985","-120.03999999999998"
"2015-02","Shasta County","60.07142857142857","38.46428571428572","51.0","0.0","67.14285714285714","4.75","0.38571428571428573","9.710714285714287","40.76","-122.03999999999998"
"2015-03","Sacramento County","69.41935483870968","47.096774193548384","60.903225806451616","0.0","68.45161290322581","4.645161290322581","0.03225806451612903","10.238709677419356","38.45000000000002","-121.34000000000006"
"2015-03","Santa Barbara County","71.48387096774194","49.54838709677419","63.516129032258064","0.0","53.774193548387096","6.709677419354839","0.016129032258064516","10.525806451612906","34.539999999999985","-120.03999999999998"
"2015-03","Shasta County","62.96774193548387","38.61290322580645","53.2258064516129","0.0","65.19354838709677","4.354838709677419","0.07096774193548387","10.29354838709678","40.76","-122.03999999999998"
"2015-04","Sacramento County","72.2","47.66666666666666","63.46666666666667","0.0","61.03333333333333","5.566666666666666","0.08333333333333333","10.923333333333334","38.45000000000002","-121.34000000000006"
"2015-04","Santa Barbara County","70.63333333333334","47.63333333333333","63.0","0.0","53.8","7.366666666666666","0.020000000000000004","11.136666666666668","34.539999999999985","-120.03999999999998"
"2015-04","Shasta County","66.5","38.8","57.36666666666667","0.0","58.6","4.9","0.08333333333333333","11.053333333333336","40.76","-122.03999999999998"
"2015-05","Sacramento County","75.90322580645162","51.096774193548384","67.61290322580645","0.0","62.38709677419355","6.161290322580645","0.012903225806451613","13.209677419354838","38.45000000000002","-121.34000000000006"
"2015-05","Santa Barbara County","69.61290322580645","47.67741935483871","63.064516129032256","0.0","66.96774193548387","6.741935483870968","0.0064516129032258064","12.877419354838707","34.539999999999985","-120.03999999999998"
