"county","Year","Month","ndvi"
"Santa Barbara","2014","1","0.6304500000000001"
"Shasta","2014","1","0.65835"
"Sacramento","2014","2","0.40015"
"Santa Barbara","2014","2","0.5715"
"Shasta","2014","2","0.6707000000000001"
"Sacramento","2014","3","0.5341"
"Santa Barbara","2014","3","0.6133000000000001"
"Shasta","2014","3","0.6701"
"Sacramento","2014","4","0.55245"
"Santa Barbara","2014","4","0.70265"
"Shasta","2014","4","0.74145"
"Sacramento","2014","5","0.4143"
"Santa Barbara","2014","5","0.6764"
"Shasta","2014","5","0.7298"
"Sacramento","2014","6","0.3206"
"Santa Barbara","2014","6","0.6117"
"Shasta","2014","6","0.7152000000000001"
"Sacramento","2014","7","0.3287"
"Santa Barbara","2014","7","0.6102000000000001"
"Shasta","2014","7","0.6841"
"Sacramento","2014","8","0.32915"
"Santa Barbara","2014","8","0.61755"
"Shasta","2014","8","0.682"
"Sacramento","2014","9","0.35065"
"Santa Barbara","2014","9","0.5995"
"Shasta","2014","9","0.6821"
"Sacramento","2014","10","0.35900000000000004"
"Santa Barbara","2014","10","0.6272"
"Shasta","2014","10","0.7514000000000001"
"Sacramento","2014","11","0.38870000000000005"
"Santa Barbara","2014","11","0.63805"
"Shasta","2014","11","0.6726000000000001"
"Sacramento","2014","12","0.5879500000000001"
"Santa Barbara","2014","12","0.65135"
"Shasta","2014","12","0.6622"
"Sacramento","2015","1","0.5537000000000001"
"Santa Barbara","2015","1","0.67495"
"Shasta","2015","1","0.6383"
"Sacramento","2015","2","0.5941500000000001"
"Santa Barbara","2015","2","0.70535"
"Shasta","2015","2","0.6814"
"Sacramento","2015","3","0.55"
"Santa Barbara","2015","3","0.6837500000000001"
"Shasta","2015","3","0.6781"
"Sacramento","2015","4","0.5161"
"Santa Barbara","2015","4","0.66335"
"Shasta","2015","4","0.7475"
"Sacramento","2015","5","0.3693"
"Santa Barbara","2015","5","0.66825"
"Shasta","2015","5","0.7242500000000001"
"Sacramento","2015","6","0.32680000000000003"
"Santa Barbara","2015","6","0.6152000000000001"
"Shasta","2015","6","0.7029500000000001"
"Sacramento","2015","7","0.29475"
"Santa Barbara","2015","7","0.61205"
"Shasta","2015","7","0.65905"
"Sacramento","2015","8","0.3029"
